clue,pattern,answer,source,split
With it,???,Hip,NYT 12-19-2022,train
Curving flight paths,????,Arcs,NYT 12-19-2022,train
Dodos,?????,Asses,NYT 12-19-2022,train
Within,????,Amid,NYT 12-19-2022,train
Yellow ingredient left out of some omelets,????,Yolk,NYT 12-19-2022,train
"Not sharp, as a pencil or knife",?????,Blunt,NYT 12-19-2022,train
Built-in lag time to allow bleeping during a live broadcast,?????????,Tapedelay,NYT 12-19-2022,train
Biig maker of calculators and digital watches,?????,Casio,NYT 12-19-2022,train
"Landscape, e.g.",?????,Scene,NYT 12-19-2022,train
Shiny item of fishing tackle,????,Lure,NYT 12-19-2022,train
Scorch,????,Char,NYT 12-19-2022,train
Part of a swimmer's sidestroke,????????????,Scissorskick,NYT 12-19-2022,train
"""Get over it""",??????,Moveon,NYT 12-19-2022,train
Part of a Superman costume,????,Cape,NYT 12-19-2022,train
Roman love god,????,Amor,NYT 12-19-2022,train
Boat wood,????,Teak,NYT 12-19-2022,train
Chimp's cousin,?????,Orang,NYT 12-19-2022,train
Hawaiian garland,???,Lei,NYT 12-19-2022,train
Good vantage point at an opera house or stadium,???????,Boxseat,NYT 12-19-2022,train
Seven on a grandfather clock,???,VII,NYT 12-19-2022,train
Delhi's land,?????,India,NYT 12-19-2022,train
Consumes,????,Eats,NYT 12-19-2022,train
Massage deeply,????,Rolf,NYT 12-19-2022,train
Wetlands critter with snapping jaws,????,Croc,NYT 12-19-2022,train
Small piano,??????,Spinet,NYT 12-19-2022,train
"Like a puppy who's learned where to ""go""",????????????,Papertrained,NYT 12-19-2022,train
Minnesota's St. ____ College,????,Olaf,NYT 12-19-2022,train
27th U.S. president and 10th chief justice,????,Taft,NYT 12-19-2022,train
Intuit,?????,Sense,NYT 12-19-2022,train
Prime bird-watching spots for indoor cats,?????,Sills,NYT 12-19-2022,train
Archer's arrow launcher,?????????,Bowstring,NYT 12-19-2022,train
Nation in Polynesia,?????,Samoa,NYT 12-19-2022,train
Hawaiian party,????,Luau,NYT 12-19-2022,train
